"Año";"Periodo";"Número de fallecidos por fecha de defunción"
"2021";"Día 9 de diciembre";"2"
"2021";"Día 10 de diciembre";"8"
"2021";"Día 11 de diciembre";"2"
"2021";"Día 12 de diciembre";"6"
"2021";"Día 13 de diciembre";"3"
"2021";"Día 14 de diciembre";"5"
"2021";"Día 15 de diciembre";"2"
"2021";"Día 16 de diciembre";"7"
"2021";"Día 17 de diciembre";"2"
"2021";"Día 18 de diciembre";"1"
"2021";"Día 19 de diciembre";"4"
"2021";"Día 20 de diciembre";"2"
"2021";"Día 21 de diciembre";"0"
;;
;;
"Métrica":"Número de fallecidos por fecha de defunción"
"Fuente":"Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Número de fallecidos por fecha de defunción"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/muertos-diarios-coronavirus-lugar/3dab4179-c99d-46c1-93a2-7e62873d3d5f/castilla-leon/295"
